Title：Population by single age ,,,,,,,,,,,,,
Search Year：2013~2023,,,,,,,,,,,,,
Source：National Development Council,,,,,,,,,,,,,
Population Projections for the R.O.C (Taiwan),,,,,,,,,,,,,
Table URL：https://pop-proj.ndc.gov.tw/main_en/Custom_Detail_Statistics_Search.aspx?n=175&_Query=a72e3e04-f1f9-4bf2-b143-6330a2939e81,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Variant,Gender,Age,Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons)
Medium,Female,'31,200970,189419,182297,168731,148481,149955,164500,148963,157552,149410,151276
Medium,Female,'32,206465,201540,189791,182760,168927,148784,150166,164288,147475,157191,150269
Medium,Female,'33,205379,206874,201871,190169,182970,169240,149027,150043,162809,147115,157928
Medium,Female,'34,209193,205754,207161,202317,190370,183225,169483,148853,148736,162460,147932
Medium,Female,'35,203691,209415,205947,207456,202607,190545,183396,169228,147506,148420,163271
Medium,Female,'36,194852,203979,209522,206119,207571,202795,190737,183113,167732,147238,149054
Medium,Female,'37,210386,194941,204021,209715,206239,207753,202937,190377,181607,167415,147761
Medium,Female,'38,183020,210428,194948,204151,209807,206334,207899,202639,188894,181281,167774
Medium,Female,'39,179732,183105,210391,195039,204240,209782,206389,207489,201042,188606,181641
Medium,Female,'40,178473,179748,183129,210392,195017,204227,209795,205978,205852,200717,188724
Medium,Female,'41,179150,178492,179710,183177,210419,194978,204172,209356,204323,205463,200804
Medium,Female,'42,183185,179032,178424,179646,183171,210373,194984,203700,207743,204009,205400
Medium,Female,'43,187448,183118,178970,178383,179567,183129,210250,194501,202008,207312,203971
Medium,Female,'44,187546,187323,182963,178925,178246,179488,183075,209784,192943,201632,207131
Medium,Female,'45,186375,187378,187126,182825,178808,178145,179382,182612,208135,192656,201393
Medium,Female,'46,176763,186218,187094,187009,182649,178668,178031,178922,181140,207662,192292
Medium,Female,'47,190089,176533,185984,186958,186810,182516,178506,177486,177543,180831,207287
Medium,Female,'48,187700,189820,176282,185801,186724,186560,182346,178011,176022,177198,180445
Medium,Female,'49,190093,187414,189521,176021,185575,186470,186356,181768,176509,175661,176736
Medium,Female,'50,193795,189850,187072,189232,175776,185321,186256,185805,180217,176134,175139
Medium,Female,'51,190195,193425,189524,186715,188881,175481,185017,185639,184239,179751,175512
Medium,Female,'52,186964,189819,193067,189191,186432,188543,175305,184335,184125,183782,179127
Medium,Female,'53,185017,186566,189452,192766,188859,186096,188226,174690,182808,183638,183033
Medium,Female,'54,183869,184565,186102,189028,192338,188478,185737,187511,173179,182314,182879
Medium,Female,'55,178082,183408,184087,185644,188541,191857,188156,185023,185856,172681,181459
Medium,Female,'56,169478,177565,182828,183638,185118,188106,191487,187310,183311,185286,171837
Medium,Female,'57,174583,168925,176940,182207,183036,184575,187635,190567,185529,182734,184299
Medium,Female,'58,169934,174024,168412,176312,181651,182437,184068,186749,188573,184841,181725
Medium,Female,'59,161405,169299,173395,167812,175659,180957,181772,183088,184722,187845,183747
Medium,Female,'60,154882,160794,168589,172715,167178,175035,180410,180771,180996,183929,186614
Medium,Female,'61,151180,154204,160101,167844,172083,166497,174408,179315,178666,180145,182679
Medium,Female,'62,153219,150477,153423,159310,167150,171299,165870,173267,177046,177876,178895
Medium,Female,'63,128490,152431,149634,152692,158575,166409,170523,164684,170846,176150,176528
Medium,Female,'64,119262,127793,151589,148868,151906,157839,165630,169138,162213,169817,174554
Medium,Female,'65,104377,118583,127046,150793,148049,151100,157005,164223,166516,161346,168294
Medium,Female,'66,91725,103606,117736,126164,149796,147131,150229,155628,161570,165560,159599
Medium,Female,'67,74181,90851,102687,116730,125193,148647,146124,148711,152957,160381,163600
Medium,Female,'68,66473,73506,89985,101780,115706,124118,147499,144522,145875,151548,158523
